Jurusan,Kategori,Deskripsi,Skills,Karier,URL,combined
Hukum Tata Negara,"Ilmu Sosial, Hukum & Politik","Apabila dilihat dari penamaannya, pastinya banyak orang yang berpikiran bahwa jurusan ini berkaitan erat dengan tata kelola hukum dalam suatu negara. Tentu saja pendapat tersebut ada benarnya, sebab di jurusan ini mahasiswa akan mempelajari berbagai hukum dan relasi lembaga antar negara, termasuk pengelolaan dan pengorganisasian lembaga negara untuk mencapai tujuan suatu negara.","Kemampuan memahami undang-undang, Kemampuan membaca, Kemampuan menghafal, Kemampuan bernarasi dan berargumen, Kemampuan analisis, Kemampuan berpikir kritis dan logis, Komunikatif","Politisi, Pengacara, Jaksa, Hakim, Panitera, Filsuf",https://campus.quipper.com/majors/id-hukum-tata-negara,"Hukum Tata Negara Ilmu Sosial, Hukum & Politik Kemampuan memahami undang-undang, Kemampuan membaca, Kemampuan menghafal, Kemampuan bernarasi dan berargumen, Kemampuan analisis, Kemampuan berpikir kritis dan logis, Komunikatif Politisi, Pengacara, Jaksa, Hakim, Panitera, Filsuf Apabila dilihat dari penamaannya, pastinya banyak orang yang berpikiran bahwa jurusan ini berkaitan erat dengan tata kelola hukum dalam suatu negara. Tentu saja pendapat tersebut ada benarnya, sebab di jurusan ini mahasiswa akan mempelajari berbagai hukum dan relasi lembaga antar negara, termasuk pengelolaan dan pengorganisasian lembaga negara untuk mencapai tujuan suatu negara."
Ilmu Kesejahteraan Sosial,"Ilmu Sosial, Hukum & Politik","Jurusan Ilmu Kesejahteraan Sosial adalah jurusan yang mempelajari cara mencegah, mengidentifikasi, dan mencari solusi untuk suatu permasalahan sosial supaya bisa meningkatkan kualitas hidup masyarakat.","Kemampuan melakukan riset, Kemampuan dalam berkomunikasi, Kemampuan memecahkan masalah, Kemampuan bekerjasama dengan tim, Kemampuan berpikir kritis",Tidak ada informasi,https://campus.quipper.com/majors/id-ilmu-kesejahteraan-sosial,"Ilmu Kesejahteraan Sosial Ilmu Sosial, Hukum & Politik Kemampuan melakukan riset, Kemampuan dalam berkomunikasi, Kemampuan memecahkan masalah, Kemampuan bekerjasama dengan tim, Kemampuan berpikir kritis Tidak ada informasi Jurusan Ilmu Kesejahteraan Sosial adalah jurusan yang mempelajari cara mencegah, mengidentifikasi, dan mencari solusi untuk suatu permasalahan sosial supaya bisa meningkatkan kualitas hidup masyarakat."
Broadcasting (Penyiaran),"Ilmu Sosial, Hukum & Politik","Broadcasting atau penyiaran sejatinya adalah salah satu pilihan konsentrasi di Jurusan Ilmu Komunikasi. Namun, di beberapa perguruan tinggi, kamu bisa menemukan Broadcasting sebagai jurusan sendiri.","Teori dan keterampilan komunikasi secara umum, Kemampuan teknis bidang Broadcasting, Kreativitas, Kemampuan riset dan observasi, Kemampuan bekerja dalam tim","Penyiar, Video Editor, Jurnalis (Reporter), Produser TV atau Radio, Penata Musik (Music Arranger), Sutradara",https://campus.quipper.com/majors/id-broadcasting-penyiaran,"Broadcasting (Penyiaran) Ilmu Sosial, Hukum & Politik Teori dan keterampilan komunikasi secara umum, Kemampuan teknis bidang Broadcasting, Kreativitas, Kemampuan riset dan observasi, Kemampuan bekerja dalam tim Penyiar, Video Editor, Jurnalis (Reporter), Produser TV atau Radio, Penata Musik (Music Arranger), Sutradara Broadcasting atau penyiaran sejatinya adalah salah satu pilihan konsentrasi di Jurusan Ilmu Komunikasi. Namun, di beberapa perguruan tinggi, kamu bisa menemukan Broadcasting sebagai jurusan sendiri."
Kearsipan,"Ilmu Sosial, Hukum & Politik","Ilmu tentang kearsipan sebenarnya sudah ada sejak lama, akan tetapi masih jarang universitas yang fokus pada studi ini. Selain itu, Jurusan Kearsipan termasuk salah satu program studi yang masih cukup langka peminatnya di Indonesia. Padahal kearsipan memegang peran yang sangat penting dalam suatu organisasi atau perusahaan, sekaligus juga kerap menjadi sesuatu yang disepelekan. Meski begitu, prospek kerja lulusan Jurusan Kearsipan cukup menjanjikan lho di masa depan.","Kemampuan komunikasi, Detail, tekun, teliti, Kemampuan menganalisis, Rasional, Kemampuan bekerja sama dalam tim","Pegawai Negeri Sipil (PNS), Tata Usaha (Admin), Pustakawan, Bagian Administrasi Rumah Sakit, Arsiparis",https://campus.quipper.com/majors/id-kearsipan,"Kearsipan Ilmu Sosial, Hukum & Politik Kemampuan komunikasi, Detail, tekun, teliti, Kemampuan menganalisis, Rasional, Kemampuan bekerja sama dalam tim Pegawai Negeri Sipil (PNS), Tata Usaha (Admin), Pustakawan, Bagian Administrasi Rumah Sakit, Arsiparis Ilmu tentang kearsipan sebenarnya sudah ada sejak lama, akan tetapi masih jarang universitas yang fokus pada studi ini. Selain itu, Jurusan Kearsipan termasuk salah satu program studi yang masih cukup langka peminatnya di Indonesia. Padahal kearsipan memegang peran yang sangat penting dalam suatu organisasi atau perusahaan, sekaligus juga kerap menjadi sesuatu yang disepelekan. Meski begitu, prospek kerja lulusan Jurusan Kearsipan cukup menjanjikan lho di masa depan."
Public Relations,"Ilmu Sosial, Hukum & Politik",Jurusan Public Relations atau PR adalah jurusan interdisipliner yang menggabungkan teori dan konsep dari hubungan masyarakat dan ilmu komunikasi. Jurusan Public Relations fokus membina mahasiswanya supaya memahami teori cara membangun hubungan dengan publik yang baik.,"Kemampuan komunikasi, Keterampilan interpersonal, Keterampilan observasi dan riset, Kemampuan analisis, Kemampuan bekerja sama dalam tim, Keterampilan menggunakan software editing untuk foto dan video, Kemampuan copywriting","Public Relations (Humas), Graphic Designer (Desainer Grafis), Dosen, Penulis (Content Writer)",https://campus.quipper.com/majors/id-public-relations,"Public Relations Ilmu Sosial, Hukum & Politik Kemampuan komunikasi, Keterampilan interpersonal, Keterampilan observasi dan riset, Kemampuan analisis, Kemampuan bekerja sama dalam tim, Keterampilan menggunakan software editing untuk foto dan video, Kemampuan copywriting Public Relations (Humas), Graphic Designer (Desainer Grafis), Dosen, Penulis (Content Writer) Jurusan Public Relations atau PR adalah jurusan interdisipliner yang menggabungkan teori dan konsep dari hubungan masyarakat dan ilmu komunikasi. Jurusan Public Relations fokus membina mahasiswanya supaya memahami teori cara membangun hubungan dengan publik yang baik."
Jurnalistik,"Ilmu Sosial, Hukum & Politik","Jurusan Jurnalistik mengajak mahasiswa mendalami dunia jurnalistik beserta karakter dan dinamika yang terjadi di berbagai media massa (televisi, radio, cetak, dan online). Mahasiswa akan mempelajari bagaimana suatu informasi didistribusikan melalui media massa, dan mengetahui karakter masing-masing media beserta perubahannya. Dalam perkuliahan, mahasiswa akan belajar berbagai hal termasuk mencari, menulis, serta menyunting berita. Kemampuanmu menyampaikan pesan melalui berbagai media massa akan terus diasah selama mengenyam pendidikan di jurusan ini. Umumnya, Jurnalistik menjadi salah satu pilihan konsentrasi di Jurusan Ilmu Komunikasi. Namun, di beberapa kampus Jurusan Jurnalistik bisa berdiri sendiri.","Kemampuan analisis, Kemampuan komunikasi, Kemampuan berpikir terstruktur, Kemampuan menulis, Kemampuan membaca, Kemampuan menguasai teknologi informasi dan komunikasi","Public Relations (Humas), Jurnalis (Reporter), Fotografer, Penulis (Content Writer), Editor",https://campus.quipper.com/majors/id-jurnalistik,"Jurnalistik Ilmu Sosial, Hukum & Politik Kemampuan analisis, Kemampuan komunikasi, Kemampuan berpikir terstruktur, Kemampuan menulis, Kemampuan membaca, Kemampuan menguasai teknologi informasi dan komunikasi Public Relations (Humas), Jurnalis (Reporter), Fotografer, Penulis (Content Writer), Editor Jurusan Jurnalistik mengajak mahasiswa mendalami dunia jurnalistik beserta karakter dan dinamika yang terjadi di berbagai media massa (televisi, radio, cetak, dan online). Mahasiswa akan mempelajari bagaimana suatu informasi didistribusikan melalui media massa, dan mengetahui karakter masing-masing media beserta perubahannya. Dalam perkuliahan, mahasiswa akan belajar berbagai hal termasuk mencari, menulis, serta menyunting berita. Kemampuanmu menyampaikan pesan melalui berbagai media massa akan terus diasah selama mengenyam pendidikan di jurusan ini. Umumnya, Jurnalistik menjadi salah satu pilihan konsentrasi di Jurusan Ilmu Komunikasi. Namun, di beberapa kampus Jurusan Jurnalistik bisa berdiri sendiri."
Sosiologi,"Ilmu Sosial, Hukum & Politik","Sosiologi merupakan ilmu yang membahas perilaku sosial antar individu, antar kelompok, maupun antara individu dan kelompok. Di jurusan ini kamu juga akan membicarakan ""apa itu masyarakat."" Kamu akan mempelajari struktur dan karakter masyarakat, problematika masyarakat, fenomena sosial, dan gerakan masyarakat. Selain itu, mempelajari metode survei sosial seperti kuisioner dan statistik, serta metode analisis dari hasil survei.","Kemampuan observasi, Kemampuan memahami fenomena sosial, Kemampuan meneliti, Kemampuan melakukan analisis, Kemampuan komunikasi, Kemampuan berpikir kritis","Market Researcher, Pemandu Wisata (Tour Guide), Jurnalis (Reporter), Event Planner/Event Organizer, Dosen, Aktivis, Pekerja Sosial (Social Worker), Sosiolog, Chocolatier, Penulis (Content Writer), Research And Development (RnD), Peneliti",https://campus.quipper.com/majors/id-sosiologi,"Sosiologi Ilmu Sosial, Hukum & Politik Kemampuan observasi, Kemampuan memahami fenomena sosial, Kemampuan meneliti, Kemampuan melakukan analisis, Kemampuan komunikasi, Kemampuan berpikir kritis Market Researcher, Pemandu Wisata (Tour Guide), Jurnalis (Reporter), Event Planner/Event Organizer, Dosen, Aktivis, Pekerja Sosial (Social Worker), Sosiolog, Chocolatier, Penulis (Content Writer), Research And Development (RnD), Peneliti Sosiologi merupakan ilmu yang membahas perilaku sosial antar individu, antar kelompok, maupun antara individu dan kelompok. Di jurusan ini kamu juga akan membicarakan ""apa itu masyarakat."" Kamu akan mempelajari struktur dan karakter masyarakat, problematika masyarakat, fenomena sosial, dan gerakan masyarakat. Selain itu, mempelajari metode survei sosial seperti kuisioner dan statistik, serta metode analisis dari hasil survei."
Penerbitan,"Ilmu Sosial, Hukum & Politik","Ketika membaca buku atau media massa, pernahkah Quipperian mempertanyakan bagaimana sebuah tulisan dapat naik cetak dan sampai ke tangan pembaca? Atau bagaimana berkembangnya e-book dan aplikasi digital sebagai sarana membaca? Kalau kamu penasaran dengan hal tersebut, berkuliah di Jurusan Penerbitan dapat menjadi jawabannya.","Kemampuan menguasai teknologi informasi dan komunikasi, Kemampuan analisis, Kemampuan membaca, Kemampuan menulis, Kemampuan berpikir terstruktur, Kemampuan komunikasi","Pegawai Negeri Sipil (PNS), Jurnalis (Reporter), Fotografer, Desainer Produk, Graphic Designer (Desainer Grafis), Wirausaha (Entrepreuner), Penulis (Content Writer), Editor",https://campus.quipper.com/majors/id-penerbitan,"Penerbitan Ilmu Sosial, Hukum & Politik Kemampuan menguasai teknologi informasi dan komunikasi, Kemampuan analisis, Kemampuan membaca, Kemampuan menulis, Kemampuan berpikir terstruktur, Kemampuan komunikasi Pegawai Negeri Sipil (PNS), Jurnalis (Reporter), Fotografer, Desainer Produk, Graphic Designer (Desainer Grafis), Wirausaha (Entrepreuner), Penulis (Content Writer), Editor Ketika membaca buku atau media massa, pernahkah Quipperian mempertanyakan bagaimana sebuah tulisan dapat naik cetak dan sampai ke tangan pembaca? Atau bagaimana berkembangnya e-book dan aplikasi digital sebagai sarana membaca? Kalau kamu penasaran dengan hal tersebut, berkuliah di Jurusan Penerbitan dapat menjadi jawabannya."
Hubungan Masyarakat,"Ilmu Sosial, Hukum & Politik","Jurusan Hubungan Masyarakat (Humas) atau Public Relation (PR) mempelajari cara menciptakan dan mengelola reputasi serta citra positif suatu organisasi. Mahasiswa akan belajar melakukan komunikasi yang baik, negosiasi, creative thinking, advertising, dan lain-lain. Hal tersebut berkaitan dengan profesi yang akan dijalani di bidang humas atau public relation nantinya.","Kemampuan komunikasi, Kemampuan observasi dan riset, Kemampuan interpersonal, Kemampuan memecahkan masalah, Kemampuan bekerja sama dengan tim, Kemampuan creative thinking, Kemampuan negosiasi dan persuasi, Kemampuan copywriting","Public Relations (Humas), Event Planner/Event Organizer, Dosen, Penulis (Content Writer)",https://campus.quipper.com/majors/id-hubungan-masyarakat,"Hubungan Masyarakat Ilmu Sosial, Hukum & Politik Kemampuan komunikasi, Kemampuan observasi dan riset, Kemampuan interpersonal, Kemampuan memecahkan masalah, Kemampuan bekerja sama dengan tim, Kemampuan creative thinking, Kemampuan negosiasi dan persuasi, Kemampuan copywriting Public Relations (Humas), Event Planner/Event Organizer, Dosen, Penulis (Content Writer) Jurusan Hubungan Masyarakat (Humas) atau Public Relation (PR) mempelajari cara menciptakan dan mengelola reputasi serta citra positif suatu organisasi. Mahasiswa akan belajar melakukan komunikasi yang baik, negosiasi, creative thinking, advertising, dan lain-lain. Hal tersebut berkaitan dengan profesi yang akan dijalani di bidang humas atau public relation nantinya."
Kesehatan Lingkungan,Kesehatan & Ilmu Keolahragaan,Hadirnya Jurusan Kesehatan Lingkungan bertujuan untuk menciptakan SDM yang sigap meminimalisir dan menangani adanya bahaya baru dari lingkungan dengan berbagai cara seperti memaksimalkan pengaturan segala sudut sumber lingkungan.,"Kemampuan melakukan analisis, Kemampuan meneliti dan mengidentifikasi, Kemampuan komunikasi, Kemampuan berpikir logis & sistematis, Kemampuan kepemimpinan, Kemampuan mempromosikan masalah kesehatan, Kepekaan terhadap kondisi lingkungan","Pegawai Negeri Sipil (PNS), Teknisi Konservasi Lingkungan, Dosen, Aktivis, Peneliti",https://campus.quipper.com/majors/id-kesehatan-lingkungan,"Kesehatan Lingkungan Kesehatan & Ilmu Keolahragaan Kemampuan melakukan analisis, Kemampuan meneliti dan mengidentifikasi, Kemampuan komunikasi, Kemampuan berpikir logis & sistematis, Kemampuan kepemimpinan, Kemampuan mempromosikan masalah kesehatan, Kepekaan terhadap kondisi lingkungan Pegawai Negeri Sipil (PNS), Teknisi Konservasi Lingkungan, Dosen, Aktivis, Peneliti Hadirnya Jurusan Kesehatan Lingkungan bertujuan untuk menciptakan SDM yang sigap meminimalisir dan menangani adanya bahaya baru dari lingkungan dengan berbagai cara seperti memaksimalkan pengaturan segala sudut sumber lingkungan."
Gizi,Kesehatan & Ilmu Keolahragaan,"Jurusan Ilmu Gizi adalah bidang ilmu yang mempelajari pentingnya nutrisi pada kehidupan manusia, terutama hubungan antara asupan makanan dengan kesehatan. Hal lain yang juga akan dipelajari meliputi pemahaman tetang pola makan sehat, gaya hidup, hingga cara memproses makanan. Di jurusan ini mahasiswa akan mempelajari zat gizi apa saja yang dibutuhkan dan bagaimana takaran idealnya sesuai dengan ilmu pengetahuan.","Kemampuan komunikasi, Kemampuan melakukan analisis, Kemampuan meneliti, Kemampuan berpikir rasional dan terstruktur, Kemampuan problem solving, Kemampuan bekerja secara tim, Keterampilan interpersonal","Pegawai Negeri Sipil (PNS), Bagian Pengendalian Mutu Produk dan Kesehatan, Terapis Aroma (Aromatherapist), Ahli Diet (Dietitian), Ahli Gizi (Nutritionist), Chef (Koki), Wirausaha (Entrepreuner), Quality Assurance (QA) & Quality Control (QC), System Analyst",https://campus.quipper.com/majors/id-gizi,"Gizi Kesehatan & Ilmu Keolahragaan Kemampuan komunikasi, Kemampuan melakukan analisis, Kemampuan meneliti, Kemampuan berpikir rasional dan terstruktur, Kemampuan problem solving, Kemampuan bekerja secara tim, Keterampilan interpersonal Pegawai Negeri Sipil (PNS), Bagian Pengendalian Mutu Produk dan Kesehatan, Terapis Aroma (Aromatherapist), Ahli Diet (Dietitian), Ahli Gizi (Nutritionist), Chef (Koki), Wirausaha (Entrepreuner), Quality Assurance (QA) & Quality Control (QC), System Analyst Jurusan Ilmu Gizi adalah bidang ilmu yang mempelajari pentingnya nutrisi pada kehidupan manusia, terutama hubungan antara asupan makanan dengan kesehatan. Hal lain yang juga akan dipelajari meliputi pemahaman tetang pola makan sehat, gaya hidup, hingga cara memproses makanan. Di jurusan ini mahasiswa akan mempelajari zat gizi apa saja yang dibutuhkan dan bagaimana takaran idealnya sesuai dengan ilmu pengetahuan."
Analis Kesehatan,Kesehatan & Ilmu Keolahragaan,"Seperti namanya, Jurusan Analis Kesehatan atau disebut juga Jurusan Teknologi Laboratorium Medis adalah program studi di bidang kesehatan yang bertujuan melahirkan seorang ahli teknologi laboratorium medik atau analis kesehatan yang berketerampilan tinggi. Jurusan ini dapat menjadi alternatif pilihan di bidang kesehatan selain kedokteran, keperawatan, dan farmasi.","Kemampuan komunikasi, Detail, tekun, teliti, dan kritis, Kemampuan riset dan analisis, Rasional, Observan, Kemampuan bekerja sama dalam tim, Kemampuan memecahkan masalah","Teknisi Laboratorium Klinis, Teknisi Alat Kesehatan, Ahli Patologi",https://campus.quipper.com/majors/id-analis-kesehatan,"Analis Kesehatan Kesehatan & Ilmu Keolahragaan Kemampuan komunikasi, Detail, tekun, teliti, dan kritis, Kemampuan riset dan analisis, Rasional, Observan, Kemampuan bekerja sama dalam tim, Kemampuan memecahkan masalah Teknisi Laboratorium Klinis, Teknisi Alat Kesehatan, Ahli Patologi Seperti namanya, Jurusan Analis Kesehatan atau disebut juga Jurusan Teknologi Laboratorium Medis adalah program studi di bidang kesehatan yang bertujuan melahirkan seorang ahli teknologi laboratorium medik atau analis kesehatan yang berketerampilan tinggi. Jurusan ini dapat menjadi alternatif pilihan di bidang kesehatan selain kedokteran, keperawatan, dan farmasi."
Ilmu Biomedis,Kesehatan & Ilmu Keolahragaan,"Ilmu Biomedis mengkaji tentang fenomena makhluk hidup di tingkat molekul, sel, organ, sampai organisme utuh yang berhubungan dengan penyakit, cara pencegahan, pengobatan, dan pemulihannya. Ilmu Biomedis ini merupakan cabang Ilmu Kedokteran yang berkaitan dengan Biologi, Kimia, dan Fisika.","Kemampuan mengembangkan teknik-teknik biomedis dasar dalam penelitian, Kemampuan mengambil tindakan medis dengan tepat, Kemampuan analisis dan riset, Kemampuan bersikap rasional dan observan, Keterampilan dalam pendekatan holistik dan komprehensif, Kemampuan memecahkan masalah, Memiliki pengetahuan dan wawasan yang luas","Ahli Bioteknologi, Dosen, Teknisi Laboratorium Klinis, Peneliti",https://campus.quipper.com/majors/id-ilmu-biomedis,"Ilmu Biomedis Kesehatan & Ilmu Keolahragaan Kemampuan mengembangkan teknik-teknik biomedis dasar dalam penelitian, Kemampuan mengambil tindakan medis dengan tepat, Kemampuan analisis dan riset, Kemampuan bersikap rasional dan observan, Keterampilan dalam pendekatan holistik dan komprehensif, Kemampuan memecahkan masalah, Memiliki pengetahuan dan wawasan yang luas Ahli Bioteknologi, Dosen, Teknisi Laboratorium Klinis, Peneliti Ilmu Biomedis mengkaji tentang fenomena makhluk hidup di tingkat molekul, sel, organ, sampai organisme utuh yang berhubungan dengan penyakit, cara pencegahan, pengobatan, dan pemulihannya. Ilmu Biomedis ini merupakan cabang Ilmu Kedokteran yang berkaitan dengan Biologi, Kimia, dan Fisika."
Pendidikan Jasmani,Kesehatan & Ilmu Keolahragaan,"Jurusan Pendidikan Jasmani, Kesehatan, dan Rekreasi (PJKR) tidak bisa dianggap remeh lho! Ingat, banyak kompetisi yang diselenggarakan di bidang olahraga, bahkan tak sedikit orang yang butuh les privat olahraga untuk mendalaminya.","Kemampuan komunikasi, Penguasaan cabang olahraga, Kemampauan persuasif, Penguasaan kurikulum, Kreatif dan inovatif","Pelatih Olahraga / Instruktur Olahraga, Guru Pendidikan Jasmani/Guru Olahraga, Atlet, Wirausaha (Entrepreuner)",https://campus.quipper.com/majors/id-pendidikan-jasmani-kesehatan-dan-rekreasi,"Pendidikan Jasmani Kesehatan & Ilmu Keolahragaan Kemampuan komunikasi, Penguasaan cabang olahraga, Kemampauan persuasif, Penguasaan kurikulum, Kreatif dan inovatif Pelatih Olahraga / Instruktur Olahraga, Guru Pendidikan Jasmani/Guru Olahraga, Atlet, Wirausaha (Entrepreuner) Jurusan Pendidikan Jasmani, Kesehatan, dan Rekreasi (PJKR) tidak bisa dianggap remeh lho! Ingat, banyak kompetisi yang diselenggarakan di bidang olahraga, bahkan tak sedikit orang yang butuh les privat olahraga untuk mendalaminya."
Mikrobiologi,Kesehatan & Ilmu Keolahragaan,"Mikrobiologi merupakan ilmu terapan yang memanfaatkan mikroorganisme (mikroba) sebagai alat untuk peningkatan kualitas hidup manusia. Pada awalnya pemanfaatan mikroba hanya berkisar pada industri makanan saja. Seiring dengan berkembangnya ilmu pengetahuan, mikroba pun banyak digunakan untuk kegiatan manusia yang lainnya seperti pengelolaan limbah, pengembangan ilmu pengetahuan di bidang rekayasa genetika dan lain sebagainya.","Memahami fisika dan kimia, Penelitian Ilmiah, Membuat vaksin, obat-obatan dan senyawa antiseptik, Merekam, menganalisis, dan menafsirkan data, Memeriksa proses pembuatan makanan dan minuman, Mengelola laboratorium",Tidak ada informasi,https://campus.quipper.com/majors/id-mikrobiologi,"Mikrobiologi Kesehatan & Ilmu Keolahragaan Memahami fisika dan kimia, Penelitian Ilmiah, Membuat vaksin, obat-obatan dan senyawa antiseptik, Merekam, menganalisis, dan menafsirkan data, Memeriksa proses pembuatan makanan dan minuman, Mengelola laboratorium Tidak ada informasi Mikrobiologi merupakan ilmu terapan yang memanfaatkan mikroorganisme (mikroba) sebagai alat untuk peningkatan kualitas hidup manusia. Pada awalnya pemanfaatan mikroba hanya berkisar pada industri makanan saja. Seiring dengan berkembangnya ilmu pengetahuan, mikroba pun banyak digunakan untuk kegiatan manusia yang lainnya seperti pengelolaan limbah, pengembangan ilmu pengetahuan di bidang rekayasa genetika dan lain sebagainya."
Pendidikan Olahraga,Kesehatan & Ilmu Keolahragaan,"Quipperian, siapa nih yang suka banget sama pelajaran olahraga? Pelajaran luar ruangan ini memang mengasyikan karena bisa nge-refresh badan dan pikiran, selain itu tentu membuat badan selalu bugar. Kalau Quipperian suka sama pelajaran olahraga, kenapa nggak mendalaminya secara serius? Saat lulus nanti, kamu bisa melanjutkan pendidikan dengan kuliah di Jurusan Pendidikan Olahraga. Pendidikan Olahraga merupakan bidang ilmu yang fokus mempelajari olahraga dari sudut pandang seorang pengajar. Quipperian akan mempelajari berbagai aturan dalam olahraga, kesehatan mental dan fisik, peningkatan fungsi fisik, olahraga dan nutrisi, metode pelatihan untuk kompetisi, taktik dan strategi, dan metode pengajaran. Kamu pun akan mempelajari hampir seluruh cabang olahraga mulai dari sepak bola, basket, voli, renang, atletik, sampai woodball. Selain itu tentunya pembelajaran mu nggak hanya sebatas teori di dalam kelas lho!","Kemampuan komunikasi, Kemampuan mengedukasi, Kemampuan persuasi, Kemampuan bekerja secara tim, Keterampilan interpersonal, Inovatif","Penyiar, Jurnalis (Reporter), Event Planner/Event Organizer, Guru SMP/SMA, Guru Sekolah Dasar (SD), Dosen, Terapis Fisik (Fisioterapis), Pelatih Olahraga / Instruktur Olahraga, Guru Pendidikan Jasmani/Guru Olahraga, Atlet, Wirausaha (Entrepreuner)",https://campus.quipper.com/majors/id-pendidikan-olahraga,"Pendidikan Olahraga Kesehatan & Ilmu Keolahragaan Kemampuan komunikasi, Kemampuan mengedukasi, Kemampuan persuasi, Kemampuan bekerja secara tim, Keterampilan interpersonal, Inovatif Penyiar, Jurnalis (Reporter), Event Planner/Event Organizer, Guru SMP/SMA, Guru Sekolah Dasar (SD), Dosen, Terapis Fisik (Fisioterapis), Pelatih Olahraga / Instruktur Olahraga, Guru Pendidikan Jasmani/Guru Olahraga, Atlet, Wirausaha (Entrepreuner) Quipperian, siapa nih yang suka banget sama pelajaran olahraga? Pelajaran luar ruangan ini memang mengasyikan karena bisa nge-refresh badan dan pikiran, selain itu tentu membuat badan selalu bugar. Kalau Quipperian suka sama pelajaran olahraga, kenapa nggak mendalaminya secara serius? Saat lulus nanti, kamu bisa melanjutkan pendidikan dengan kuliah di Jurusan Pendidikan Olahraga. Pendidikan Olahraga merupakan bidang ilmu yang fokus mempelajari olahraga dari sudut pandang seorang pengajar. Quipperian akan mempelajari berbagai aturan dalam olahraga, kesehatan mental dan fisik, peningkatan fungsi fisik, olahraga dan nutrisi, metode pelatihan untuk kompetisi, taktik dan strategi, dan metode pengajaran. Kamu pun akan mempelajari hampir seluruh cabang olahraga mulai dari sepak bola, basket, voli, renang, atletik, sampai woodball. Selain itu tentunya pembelajaran mu nggak hanya sebatas teori di dalam kelas lho!"
Biokimia,Kesehatan & Ilmu Keolahragaan,"Biokimia merupakan ilmu pengetahuan dengan konsep dasar kimia dan biologi, landasan ilmu tersebut sebagai penguat bahwa jurusan biokimia mempelajari interaksi molekuler yang terjadi dalam organisme makhluk hidup.","Kemampuan untuk mengatur, menganalisis dan menafsirkan ilmiah, Pemahaman akan Kimia, Biologi, Matematika Dasar, dan Kalkulus, Mengelola Laboratorium",Tidak ada informasi,https://campus.quipper.com/majors/id-biokimia,"Biokimia Kesehatan & Ilmu Keolahragaan Kemampuan untuk mengatur, menganalisis dan menafsirkan ilmiah, Pemahaman akan Kimia, Biologi, Matematika Dasar, dan Kalkulus, Mengelola Laboratorium Tidak ada informasi Biokimia merupakan ilmu pengetahuan dengan konsep dasar kimia dan biologi, landasan ilmu tersebut sebagai penguat bahwa jurusan biokimia mempelajari interaksi molekuler yang terjadi dalam organisme makhluk hidup."
Fisioterapi,Kesehatan & Ilmu Keolahragaan,"Jurusan Fisioterapi merupakan salah satu bagian dari ilmu kesehatan yang mempunyai wilayah di bidang promotif (promosi), preventif (pencegahan), kuratif (pengobatan), dan rehabilitatif (rehabilitasi) yang ditujukan kepada individu atau kelompok. Secara umum, Jurusan Fisioterapi mempelajari metode penyembuhan bagian tubuh yang bermasalah dengan gerak, Nah, di Jurusan Fisioterapi, kamu bakalan akrab dengan anatomi, fisiologi, kinesiologi, sistem saraf, dan lain-lain yang berhubungan dengan fungsi tubuh manusia.","Kemampuan analisis, Kemampuan komunikasi, Pemahaman anatomi, Pemahaman fisiologi",Terapis Fisik (Fisioterapis),https://campus.quipper.com/majors/id-fisioterapi,"Fisioterapi Kesehatan & Ilmu Keolahragaan Kemampuan analisis, Kemampuan komunikasi, Pemahaman anatomi, Pemahaman fisiologi Terapis Fisik (Fisioterapis) Jurusan Fisioterapi merupakan salah satu bagian dari ilmu kesehatan yang mempunyai wilayah di bidang promotif (promosi), preventif (pencegahan), kuratif (pengobatan), dan rehabilitatif (rehabilitasi) yang ditujukan kepada individu atau kelompok. Secara umum, Jurusan Fisioterapi mempelajari metode penyembuhan bagian tubuh yang bermasalah dengan gerak, Nah, di Jurusan Fisioterapi, kamu bakalan akrab dengan anatomi, fisiologi, kinesiologi, sistem saraf, dan lain-lain yang berhubungan dengan fungsi tubuh manusia."
Rekam Medis,Kesehatan & Ilmu Keolahragaan,"Kuliah di Jurusan Rekam Medis mungkin belum pernah terpikirkan sebelumnya ya? Jurusan yang satu ini memang ga sepopuler jurusan-jurusan lainnya di bidang ilmu kesehatan seperti Kedokteran, Keperawatan, Kebidanan, dan Farmasi. Namun, ilmu yang kamu dapatkan di jurusan ini sebenarnya memegang peran penting dalam rangkaian pengobatan pasien lho, Quipperian!","Kemampuan manajemen, Kemampuan bekerja dalam tim, Kemampuan komunikasi, Memahami sistem informasi, Detail, tekun, dan teliti","Dosen, Teknisi Alat Kesehatan, Staf Ahli Informasi Medis (Rekam Medis), Teknisi Rekam Medis",https://campus.quipper.com/majors/id-rekam-medis,"Rekam Medis Kesehatan & Ilmu Keolahragaan Kemampuan manajemen, Kemampuan bekerja dalam tim, Kemampuan komunikasi, Memahami sistem informasi, Detail, tekun, dan teliti Dosen, Teknisi Alat Kesehatan, Staf Ahli Informasi Medis (Rekam Medis), Teknisi Rekam Medis Kuliah di Jurusan Rekam Medis mungkin belum pernah terpikirkan sebelumnya ya? Jurusan yang satu ini memang ga sepopuler jurusan-jurusan lainnya di bidang ilmu kesehatan seperti Kedokteran, Keperawatan, Kebidanan, dan Farmasi. Namun, ilmu yang kamu dapatkan di jurusan ini sebenarnya memegang peran penting dalam rangkaian pengobatan pasien lho, Quipperian!"
